"1","0000","IBM INTERNAL      ","ZF","IBM INTERNAL      ","Z","Exclusions","21","Unassigned          ","UNAS",,"USA ","2016-07-04-05.06.14.067356"
"2","0111","GROWING OF CEREALS AND OTHER CROPS N.E.C.   ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"3","0111","GROWING OF CEREALS AND OTHER CROPS N.E.C.   ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"4","0112","GROWING-VEGETABLES-HORTICULTURAL-NURSERY PROD  ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"5","0112","GROWING-VEGETABLES-HORTICULTURAL-NURSERY PROD  ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"6","0113","GROWING -FRUIT-NUTS-BEVERAGE-SPICE CROPS   ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"7","0113","GROWING -FRUIT-NUTS-BEVERAGE-SPICE CROPS   ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"8","0121","FARMING - CATTLE,HORSES, ETC DAIRY FARMING   ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"9","0121","FARMING - CATTLE,HORSES, ETC DAIRY FARMING   ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"10","0122","OTH ANIMAL FARMING PRODUCTION ANIMAL PRODUCTS  ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"11","0122","OTH ANIMAL FARMING PRODUCTION ANIMAL PRODUCTS  ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
